author_date_unix_timestamp,fix,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1450317300.000000,0,1,1,1,0,1,1,1798,4,1.130231,20,90,1.884775,89,0,0
1450317308.000000,1,1,1,2,0.985228,2,5,144,2,23.844028,6,3706.5,1.033872,3281,0,0
1450317316.000000,0,1,2,3,1.077291,47,2,40.666667,5,2.278272,5,1,0.878141,2,0,0
1450317324.000000,0,1,1,1,0,4,4,1329,2,13.311794,7,91,1.075121,90,1,607.717419
1450317333.000000,0,1,1,1,0,4,1,218,4,2.0486,35,3,1.488138,0,0,0
1450317352.000000,1,1,2,5,2.313498,43,43,27.4,5,2.872,9,6,481.09749,7,0,0
1450317360.000000,1,1,4,8,2.703297,80,45,505.125,4,13.709709,44,13.5,1.017169,17,1,113.860394
1450317369.000000,0,1,1,2,0.983376,18,15,142.5,2,0.000706,8,3708.5,1063.295082,3283,0,0
1450317377.000000,0,3,5,8,1.619544,36,710,236.5,4,17.894047,15,95.5,1.032848,4,0,0
1450317395.000000,0,1,1,1,0,2,3,273,4,5.307685,10,100,1.188406,92,0,0
1450317403.000000,0,1,2,2,0.238685,2,49,34,4,20.030966,4,2195.5,1662.550942,32,0,0
1450317413.000000,1,1,2,3,1.251629,6,6,1408.666667,4,5.348715,38,1,0.717046,2,0,0
1450317422.000000,0,1,1,1,0,1,0,20,4,0.00022,4,2197,4548.368421,33,0,0
1450338851.000000,0,1,1,1,0,0,1,32,5,0.248831,2,10,5.018792,9,0,0
1450342644.000000,0,1,1,1,0,125,0,662,4,8.6239,9,2,1.115957,2,0,0
1450375701.000000,0,1,2,2,0.423681,56,2,37,4,9.426852,7,180.5,1.079532,108,1,1.297512
1450376797.000000,0,1,1,1,0,57,19,302,2,26.997176,2,0,0,0,0,0
1450376806.000000,0,1,1,2,0.863121,0,7,111.5,5,2.737616,10,1.5,1.273961,2,0,0
1450376816.000000,0,1,19,53,5.420404,88,96,97.660377,5,18.194149,91,29,1.00288,55,0,0
1450376825.000000,0,1,1,8,2.59099,1998,0,0,1,0,0,3.5,0,7,0,0
